time,bus_id,edge_id,speed
31.0,1,B3B2,8.935938866483045
31.0,12,E3E2,5.6155336197931325
31.0,7,D0E0,13.68451051130891
31.0,9,D4C4,12.065287110116332
61.0,1,B1B0,13.422602576958017
61.0,12,E2D2,12.384387286909842
61.0,26,B2B1,6.988360984716565
61.0,27,D0E0,5.29978001229465
61.0,7,E1E2,13.714183686822654
61.0,9,C3C2,13.810285902824253
91.0,12,C2B2,13.585713389106095
91.0,19,E3E4,13.666465460518376
91.0,26,B1B2,13.362308976296337
91.0,41,C4B4,7.345762677211315
91.0,44,A2B2,1.7765404744539413
91.0,7,E3D3,13.425708057135344
91.0,9,C1C0,13.619802444577218
121.0,12,B3B4,13.65041556140408
121.0,19,E4D4,13.302079274794087
121.0,26,C2D2,13.885189403370024
121.0,41,B4C4,13.860625607622788
121.0,44,B2B1,13.72760949159041
121.0,46,E3E2,10.54014464252628
121.0,7,C3C2,9.011581842903414
121.0,9,B0A0,13.86921679224819
151.0,26,E2E3,8.481057786718464
151.0,27,E4D4,13.302694605253638
151.0,41,D4E4,12.046601387328467
151.0,44,A1A2,9.384259682418776
151.0,46,E1E0,13.420946903815494
151.0,67,A2A3,13.779903313200922
151.0,9,A0A1,13.634165738672019
181.0,27,C4D4,13.568746912674978
181.0,41,E3E2,13.727170684151352
181.0,88,A2B2,3.51680890484713
181.0,89,C0D0,1.9806552470661698
181.0,90,D2D3,0.0
211.0,100,E3E4,9.562491107638925
211.0,41,E1E2,11.061229291791095
211.0,46,C0D0,13.635576831232758
211.0,67,C3C2,13.472158567383886
211.0,88,B2C2,13.335180731685833
211.0,89,D0C0,10.392957776831462
211.0,90,D3D2,10.57201147857122
241.0,106,C2C1,8.435737114259972
241.0,88,C1B1,11.806080160187554
241.0,89,C1D1,7.4501344633195545
241.0,90,D1D0,13.669485819954426
241.0,94,C1C0,13.847707266602665
271.0,100,E4E3,12.165799705330278
271.0,106,C0D0,8.01256305375493
271.0,124,D0C0,6.334154052045196
271.0,126,A2A1,13.84358717464842
271.0,131,B4B3,7.681576976040378
271.0,134,D1C1,1.9617874438874423
301.0,100,E2E3,7.064367983955891
301.0,124,C0B0,10.014966591717675
301.0,126,B1C1,13.300136602213607
301.0,134,C1C0,13.325277477465571
301.0,136,D0D1,9.248468702659013
331.0,124,B1B2,13.753903247192502
331.0,126,C1C2,8.61304704886861
331.0,131,A4B4,13.579521276997403
331.0,134,B0A0,13.680162965934723
331.0,136,D2D3,13.452543135322632
331.0,139,B2B3,13.712948591876776
331.0,154,E3E2,6.019297638013959
331.0,160,E1D1,9.75708886189386
361.0,139,B4C4,13.58517116714269
361.0,160,D1E1,5.1987705777047655
361.0,165,C4B4,13.334253455568106
361.0,169,C2C3,13.810064380438998
361.0,176,E3D3,7.038523758715018
391.0,154,E0D0,13.727281724950299
391.0,160,E2E3,13.302125975685195
391.0,165,B3B2,13.811623622020708
391.0,169,C3B3,10.186057573415376
391.0,176,D3C3,10.481743053391915
391.0,183,A2B2,3.5017759199254215
421.0,154,E0E1,13.32580697172321
421.0,160,E4D4,11.815831484496591
421.0,176,C3B3,13.83790419456549
421.0,183,B2C2,13.848280078181997
421.0,197,A1A2,13.513865093383938
421.0,207,B0C0,5.314371434831991
451.0,176,A3A4,10.304129536673424
451.0,183,C2D2,9.176485552380967
451.0,197,A2B2,0.007761945884882927
451.0,207,C0B0,13.315569597585128
451.0,224,D4E4,2.2999220742378386
481.0,197,B2B3,13.525316607356071
481.0,207,A0A1,13.853381229015067
481.0,224,E4E3,13.765847267964855
481.0,230,A2A3,8.895022958014152
481.0,235,C0C1,8.824754396779461
511.0,207,A0B0,9.993538216818125
511.0,230,B3B2,13.606535375174136
511.0,235,C2C3,13.352505467841402
511.0,252,A1A0,5.82146459869109
541.0,224,C3C2,13.41222929634154
541.0,256,C3B3,13.074403094790409
541.0,269,D2E2,1.1572016118094324
571.0,256,B4C4,6.370276784235611
571.0,269,E2D2,10.454523700522257
571.0,274,D1C1,6.126524789622053
571.0,275,D1E1,4.772329390071338
571.0,276,A3A2,13.610990177337081
601.0,269,D2C2,13.450449394723401
601.0,274,C1B1,13.328080982817337
601.0,275,E0D0,13.345463448995721
601.0,276,A3B3,12.483226362140845
601.0,287,B1B2,6.735655644442886
601.0,297,B3C3,5.587150001339615
601.0,298,D2C2,1.6797943846788257
631.0,269,B2A2,12.015630096064562
631.0,274,A1A2,7.325933708152205
631.0,276,B3C3,13.80237517897971
631.0,287,B3B4,13.651961960233749
631.0,290,B0C0,13.33794280808419
631.0,297,C3D3,13.725652376152576
631.0,298,C2B2,13.638476896528156
631.0,304,B2B1,5.955515772281214
631.0,305,D1E1,4.971122369902675
631.0,313,B0B1,3.1404026919510217
661.0,269,A2A3,13.438117613419891
661.0,276,D3D2,10.566196824973447
661.0,287,B4C4,13.65085014268756
661.0,290,D0E0,13.307444975813851
661.0,297,E3E2,12.787151866117489
661.0,304,B1B0,13.858111483706162
661.0,305,D1C1,12.975030163681712
661.0,313,B1B0,12.812697584182024
661.0,324,C1D1,11.401789024192839
691.0,287,D4C4,13.614851911095903
691.0,297,E1E0,13.493715537115932
691.0,305,C2C3,13.671070153322072
691.0,333,E3E2,8.532754151327534
691.0,342,A0A1,5.802081378456206
721.0,305,C3B3,5.088834762526693
721.0,333,E1D1,6.1389322994649405
721.0,342,A1B1,10.73841446900614
721.0,353,D2E2,7.669838540442289
721.0,358,A1A2,2.7140590258408337
751.0,333,D1C1,13.720750423343853
751.0,342,C1C2,13.489376277113333
751.0,353,E2D2,12.552208994760067
751.0,358,A2B2,13.719303799476474
751.0,368,C2C1,11.977003735816105
751.0,375,B3B2,0.0
781.0,333,C1B1,13.75281731114723
781.0,353,C2C3,9.758447143798692
781.0,358,C2C1,4.769720626329424
781.0,368,B1A1,10.971613524310747
781.0,375,B2C2,13.312232683525892
781.0,386,A4B4,7.344593349611387
811.0,353,C3D3,13.47089529988356
811.0,358,C1B1,13.439505866551773
811.0,375,C2D2,13.382951786890626
811.0,386,C4C3,8.504586351583711
841.0,375,D2E2,13.748420366048814
841.0,386,C3C4,13.822817505067215
841.0,394,B4C4,11.020357098616657
841.0,406,C0D0,13.596095330603422
841.0,415,E1D1,7.7844352989457555
841.0,419,C1D1,1.6234678802546112
871.0,375,E3E4,13.406756919678301
871.0,406,D1E1,9.197867827434093
871.0,427,E2E1,13.709131449423731
871.0,430,E1D1,9.202360338019208
871.0,435,C3D3,0.0
901.0,419,E1E2,13.331079496778548
901.0,427,D1D2,11.022848526751618
901.0,430,D1C1,0.04393404587821327
901.0,435,D3E3,13.650750289633871
931.0,419,E3E4,13.868577660536394
931.0,427,D3D4,13.541715638441966
931.0,460,D1C1,9.634904234530405
961.0,427,E4E3,4.579327432299032
961.0,460,C1D1,3.7950029247008876
961.0,469,D4E4,13.856598964110017
991.0,460,E1E0,13.474120527561755
991.0,465,D2E2,6.568604148992382
991.0,469,E3E2,13.841048003230245
991.0,481,D3E3,10.421738745257253
991.0,493,E3D3,3.207758611673489
1021.0,481,E3D3,13.837781153256074
1021.0,493,D3C3,13.554769478794189
1021.0,499,E2E1,13.731872591665015
1021.0,501,C3C2,13.569332502325997
1021.0,504,E0D0,8.744831281900403
1021.0,506,C4C3,7.528030951973053
1021.0,508,A3B3,3.2534673077054324
1051.0,469,D2C2,0.0
1051.0,493,C2C1,12.341102237947302
1051.0,499,E0D0,5.985389218078926
1051.0,501,D2E2,6.223594424833532
1051.0,504,C0C1,8.432849743813277
1051.0,506,C2B2,8.240147439055145
1051.0,508,B3C3,13.80546165808104
1051.0,517,A0B0,13.085204167803745
1051.0,518,B1C1,13.71168751442805
1081.0,469,B2A2,11.297142674498666
1081.0,499,D0E0,13.848827910153195
1081.0,501,E2E3,13.675586736397818
1081.0,506,B2A2,13.498437021961436
1081.0,517,C0D0,13.359583810307086
1081.0,518,C1B1,11.99643980237241
1081.0,528,C2B2,3.679038505624357
1081.0,530,E2D2,5.257597176159268
1081.0,539,D2D1,1.7915053222328423
1111.0,501,E4D4,13.850636083222927
1111.0,506,A1A0,13.3769645410683
1111.0,517,D1D2,13.673102509612217
1111.0,518,B2B3,13.67392646284774
1111.0,528,C2C1,11.567108530495311
1111.0,530,C2B2,13.69037183552049
1111.0,539,D1C1,13.771797501118854
1111.0,542,D0C0,6.5827514749486005
1111.0,543,B1C1,4.121235761372373
1111.0,549,C4B4,11.276844766899009
1111.0,552,D3C3,2.6901812515687196
1141.0,517,D3E3,12.534428614508359
1141.0,528,C0C1,4.026774290204048
1141.0,530,A2A1,8.758399506620163
1141.0,539,C1B1,7.846759323030711
1141.0,542,B0A0,13.57637411557138
1141.0,543,C1D1,13.307881574900822
1141.0,549,C4C3,6.204941522693261
1141.0,552,C3D3,12.565249675698576
1141.0,556,C1B1,11.708525045361917
1141.0,566,B3C3,6.954468958871441
1171.0,539,B1B0,13.465861144484952
1171.0,542,A0A1,13.665238674553112
1171.0,549,C3C4,13.322215279061348
