time,edge_id,mean_speed,occupancy,veh_count
31.0,D3D2,13.017072690771096,0.013950892857142858,1
31.0,D3D4,13.89,0.0,0
31.0,D3E3,13.89,0.0,0
31.0,D4C4,7.7676309161460315,0.061383928571428575,3
31.0,D4D3,13.89,0.0,0
31.0,D4E4,13.89,0.0,0
31.0,E0D0,8.88041854551295,0.013646288209606987,1
31.0,E0E1,14.143856305077954,0.013646288209606987,1
31.0,E1D1,13.89,0.0,0
31.0,E1E0,13.89,0.0,0
31.0,E1E2,13.89,0.0,0
31.0,E2D2,13.35940349653724,0.013950892857142858,1
31.0,E2E1,13.89,0.0,0
31.0,E2E3,13.89,0.0,0
31.0,E3D3,13.89,0.0,0
31.0,E3E2,9.752766809896567,0.033482142857142856,1
31.0,E3E4,13.89,0.0,0
31.0,E4D4,13.89,0.0,0
31.0,E4E3,13.89,0.0,0
61.0,A0A1,13.89,0.0,0
61.0,A0B0,13.89,0.0,0
61.0,A1A0,13.89,0.0,0
61.0,A1A2,13.89,0.0,0
61.0,A1B1,13.89,0.0,0
61.0,A2A1,13.89,0.0,0
61.0,A2A3,12.648208890922566,0.013950892857142858,1
61.0,A2B2,13.89,0.0,0
61.0,A3A2,12.87790602866748,0.013950892857142858,1
61.0,A3A4,13.89,0.0,0
61.0,A3B3,13.89,0.0,0
61.0,A4A3,13.89,0.0,0
61.0,A4B4,13.89,0.0,0
61.0,B0A0,6.72368064300445,0.04093886462882096,3
61.0,B0B1,13.89,0.0,0
61.0,B0C0,12.442004243828897,0.013950892857142858,1
61.0,B1A1,13.89,0.0,0
61.0,B1B0,13.656301288479009,0.033482142857142856,1
61.0,B1B2,12.80818570392743,0.0295845276988924,2
61.0,B1C1,13.89,0.0,0
61.0,B2A2,13.89,0.0,0
61.0,B2B1,10.439180492358282,0.033482142857142856,1
61.0,B2B3,13.89,0.0,0
61.0,B2C2,13.89,0.0,0
61.0,B3A3,13.89,0.0,0
61.0,B3B2,13.89,0.0,0
61.0,B3B4,13.89,0.0,0
61.0,B3C3,14.207403435406952,0.013950892857142858,1
61.0,B4A4,13.89,0.0,0
61.0,B4B3,13.544512183300693,0.013950892857142858,1
61.0,B4C4,13.89,0.0,0
61.0,C0B0,13.89,0.0,0
61.0,C0C1,11.290130687329718,0.013950892857142858,1
61.0,C0D0,13.89,0.0,0
61.0,C1B1,13.89,0.0,0
61.0,C1C0,13.89,0.0,0
61.0,C1C2,13.89,0.0,0
61.0,C1D1,13.89,0.0,0
61.0,C2B2,13.89,0.0,0
61.0,C2C1,11.109998672620595,0.0017284194991975396,1
61.0,C2C3,13.89,0.0,0
61.0,C2D2,13.89,0.0,0
61.0,C3B3,13.89,0.0010860608767844704,0
61.0,C3C2,13.850142951412128,0.033482142857142856,1
61.0,C3C4,13.89,0.0,0
61.0,C3D3,13.89,0.0,0
61.0,C4B4,13.89,0.0,0
61.0,C4C3,14.420589474053468,0.013950892857142858,1
61.0,C4D4,13.161631931775538,0.027901785714285716,2
61.0,D0C0,13.89,0.0,0
61.0,D0D1,14.58739157240789,0.013950892857142858,1
61.0,D0E0,9.594890006147326,0.03275109170305677,1
61.0,D1C1,14.306553360094131,0.013950892857142858,1
61.0,D1D0,13.89,0.0,0
61.0,D1D2,9.376396055978761,0.01360398828806142,1
61.0,D1E1,13.89,0.0,0
61.0,D2C2,9.005409001050118,0.013950892857142858,1
61.0,D2D1,13.89,0.0,0
61.0,D2D3,13.89,0.0,0
61.0,D2E2,13.89,0.0,0
61.0,D3C3,13.89,0.0,0
61.0,D3D2,13.89,0.0,0
61.0,D3D4,13.89,0.0,0
61.0,D3E3,13.89,0.0,0
61.0,D4C4,13.89,0.0,0
61.0,D4D3,13.89,0.0,0
61.0,D4E4,13.89,0.0,0
61.0,E0D0,13.89,0.0,0
61.0,E0E1,13.89,0.0,0
61.0,E1D1,13.89,0.0,0
61.0,E1E0,13.89,0.0,0
61.0,E1E2,13.802091843411327,0.033482142857142856,1
61.0,E2D2,13.137193643454921,0.033482142857142856,1
61.0,E2E1,13.89,0.0,0
61.0,E2E3,13.89,0.0,0
61.0,E3D3,13.89,0.0,0
61.0,E3E2,13.89,0.0,0
61.0,E3E4,13.89,0.0,0
61.0,E4D4,13.89,0.0,0
61.0,E4E3,8.920367446740107,0.027292576419213975,2
91.0,A0A1,13.096557091087002,0.027292576419213975,2
91.0,A0B0,13.89,0.0,0
91.0,A1A0,11.528611077749412,0.013646288209606987,1
91.0,A1A2,13.89,0.0,0
91.0,A1B1,10.109733985623661,0.013950892857142858,1
91.0,A2A1,13.89,0.0,0
91.0,A2A3,13.89,0.0,0
91.0,A2B2,7.833270237226971,0.033482142857142856,1
91.0,A3A2,6.945,0.013950892857142858,1
91.0,A3A4,13.105250969358787,0.013646288209606987,1
91.0,A3B3,13.89,0.0,0
91.0,A4A3,13.89,0.0,0
91.0,A4B4,13.89,0.0,0
91.0,B0A0,13.89,0.0,0
91.0,B0B1,13.89,0.0,0
91.0,B0C0,13.89,0.0,0
91.0,B1A1,14.11104080248233,0.013950892857142858,1
91.0,B1B0,13.89,0.0,0
91.0,B1B2,13.626154488148169,0.033482142857142856,1
91.0,B1C1,13.89,0.0,0
91.0,B2A2,13.795518045976173,0.013950892857142858,1
91.0,B2B1,11.530757163374028,0.05580357142857143,4
91.0,B2B3,13.89,0.0,0
91.0,B2C2,13.89,0.0,0
91.0,B3A3,13.89,0.0,0
91.0,B3B2,13.181749545134561,0.013950892857142858,1
91.0,B3B4,14.193764064989281,0.013950892857142858,1
91.0,B3C3,13.89,0.0,0
91.0,B4A4,13.89,0.0,0
91.0,B4B3,13.89,0.0,0
91.0,B4C4,13.89,0.0,0
91.0,C0B0,12.152554734509906,0.013950892857142858,1
91.0,C0C1,13.89,0.0,0
91.0,C0D0,13.89,0.0,0
91.0,C1B1,12.938818857342307,0.013950892857142858,1
91.0,C1C0,13.75490122228861,0.033482142857142856,1
91.0,C1C2,13.89,0.0,0
91.0,C1D1,13.89,0.0,0
91.0,C2B2,13.737856694553049,0.033482142857142856,1
91.0,C2C1,13.89,0.0,0
91.0,C2C3,14.334109900708848,0.013950892857142858,1
91.0,C2D2,13.89,0.0,0
91.0,C3B3,13.89,0.0,0
91.0,C3C2,13.89,0.0,0
91.0,C3C4,14.562399131904751,0.013950892857142858,1
91.0,C3D3,13.89,0.0,0
91.0,C4B4,10.617881338605658,0.033482142857142856,1
91.0,C4C3,13.89,0.0,0
91.0,C4D4,12.53188765870256,0.013950892857142858,1
91.0,D0C0,13.89,0.0,0
91.0,D0D1,12.490673093476861,0.013950892857142858,1
91.0,D0E0,13.89,0.0,0
91.0,D1C1,9.379801350602783,0.013950892857142858,1
91.0,D1D0,13.89,0.0,0
91.0,D1D2,13.89,0.0,0
91.0,D1E1,13.89,0.0,0
91.0,D2C2,13.89,0.0,0
91.0,D2D1,13.89,0.0,0
91.0,D2D3,13.89,0.0,0
91.0,D2E2,13.89,0.0,0
91.0,D3C3,13.89,0.0,0
91.0,D3D2,12.289973827015576,0.027901785714285716,2
91.0,D3D4,13.89,0.0,0
91.0,D3E3,13.637710835912944,0.013950892857142858,1
91.0,D4C4,13.89,0.0,0
91.0,D4D3,13.89,0.0,0
91.0,D4E4,13.89,0.0,0
91.0,E0D0,13.89,0.0,0
91.0,E0E1,13.89,0.02931697887173284,0
91.0,E1D1,13.89,0.0,0
91.0,E1E0,8.869446154367743,0.013646288209606987,1
91.0,E1E2,13.89,0.0,0
91.0,E2D2,13.89,0.0,0
91.0,E2E1,13.740971525764223,0.027901785714285716,2
91.0,E2E3,13.89,0.0,0
91.0,E3D3,13.657854028567673,0.033482142857142856,1
91.0,E3E2,12.845800946225065,0.013950892857142858,1
91.0,E3E4,13.778232730259187,0.01171048652415267,1
91.0,E4D4,13.89,0.0,0
91.0,E4E3,11.607270902341698,0.013646288209606987,1
121.0,A0A1,13.89,0.0,0
121.0,A0B0,13.89,0.0,0
121.0,A1A0,13.89,0.0,0
121.0,A1A2,14.811013560220225,0.013950892857142858,1
121.0,A1B1,11.756837523454752,0.013950892857142858,1
121.0,A2A1,13.258173017298034,0.013950892857142858,1
121.0,A2A3,13.634219531452285,0.013950892857142858,1
121.0,A2B2,13.89,0.0,0
121.0,A3A2,13.715273760865262,0.013950892857142858,1
121.0,A3A4,13.89,0.0,0
121.0,A3B3,13.89,0.0,0
121.0,A4A3,13.89,0.0,0
121.0,A4B4,13.89,0.0,0
121.0,B0A0,13.879608396124095,0.03275109170305677,1
121.0,B0B1,13.89,0.010365337608396197,0
121.0,B0C0,13.89,0.0,0
121.0,B1A1,12.196555190127736,0.027901785714285716,2
121.0,B1B0,13.89,0.0,0
121.0,B1B2,13.03166641627887,0.013950892857142858,1
121.0,B1C1,13.553793372905663,0.013950892857142858,1
121.0,B2A2,13.89,0.0,0
121.0,B2B1,13.808804745795205,0.033482142857142856,1
121.0,B2B3,13.89,0.0,0
121.0,B2C2,10.471638684526551,0.013950892857142858,1
121.0,B3A3,13.89,0.0,0
121.0,B3B2,13.89,0.0,0
121.0,B3B4,13.77020778070204,0.033482142857142856,1
121.0,B3C3,13.89,0.0,0
121.0,B4A4,13.89,0.0,0
121.0,B4B3,13.89,0.0,0
121.0,B4C4,13.875312803811394,0.033482142857142856,1
121.0,C0B0,13.89,0.0,0
121.0,C0C1,13.89,0.0,0
121.0,C0D0,13.89,0.0,0
121.0,C1B1,13.89,0.0,0
121.0,C1C0,13.89,0.0,0
121.0,C1C2,13.800739095995496,0.013950892857142858,1
121.0,C1D1,13.89,0.0,0
121.0,C2B2,13.89,0.0,0
121.0,C2C1,13.89,0.0,0
121.0,C2C3,13.420328421338025,0.013950892857142858,1
121.0,C2D2,13.887594701685012,0.033482142857142856,1
121.0,C3B3,13.89,0.0,0
121.0,C3C2,12.462086387492828,0.0381557704909656,2
121.0,C3C4,13.89,0.0,0
121.0,C3D3,13.89,0.0,0
121.0,C4B4,14.665041444401234,0.013950892857142858,1
121.0,C4C3,13.843422114539187,0.013950892857142858,1
121.0,C4D4,10.2491906711672,0.027901785714285716,2
121.0,D0C0,12.81453286071111,0.013950892857142858,1
121.0,D0D1,13.89,0.0,0
121.0,D0E0,13.89,0.0,0
121.0,D1C1,12.797285396296939,0.013950892857142858,1
121.0,D1D0,13.89,0.0,0
121.0,D1D2,13.117116465718977,0.013950892857142858,1
121.0,D1E1,12.71195589802878,0.013950892857142858,1
121.0,D2C2,13.89,0.0,0
121.0,D2D1,13.89,0.0,0
121.0,D2D3,12.965288383003854,0.013950892857142858,1
121.0,D2E2,13.89,0.0,0
121.0,D3C3,13.89,0.0,0
121.0,D3D2,6.945,0.013950892857142858,1
121.0,D3D4,13.89,0.0,0
121.0,D3E3,13.89,0.0,0
121.0,D4C4,13.89,0.0,0
121.0,D4D3,12.535191071632669,0.013950892857142858,1
121.0,D4E4,13.89,0.0,0
121.0,E0D0,9.650224979960043,0.013646288209606987,1
121.0,E0E1,13.89,0.0,0
121.0,E1D1,13.89,0.0,0
121.0,E1E0,13.122852059566853,0.027292576419213975,2
121.0,E1E2,13.89,0.0,0
121.0,E2D2,10.8994786520966,0.013950892857142858,1
121.0,E2E1,11.853113210008013,0.013950892857142858,1
121.0,E2E3,13.89,0.006376699810451573,0
121.0,E3D3,14.369990231472688,0.013950892857142858,1
121.0,E3E2,12.21507232126314,0.033482142857142856,1
121.0,E3E4,13.971938393649392,0.013646288209606987,1
121.0,E4D4,11.303602563433397,0.04639737991266375,2
121.0,E4E3,13.89,0.0,0
151.0,A0A1,13.762082869336009,0.03275109170305677,1
151.0,A0B0,13.44670145727105,0.013646288209606987,1
151.0,A1A0,13.89,0.0,0
151.0,A1A2,12.367829728902331,0.04743303571428572,2
151.0,A1B1,13.816598362383251,0.013950892857142858,1
151.0,A2A1,13.472089771625615,0.013950892857142858,1
151.0,A2A3,13.834951656600461,0.033482142857142856,1
151.0,A2B2,13.89,0.0,0
151.0,A3A2,11.458752415393963,0.010131982134639141,1
151.0,A3A4,13.116891913569496,0.013646288209606987,1
151.0,A3B3,13.89,0.0,0
151.0,A4A3,13.89,0.0,0
151.0,A4B4,13.397882884664462,0.013646288209606987,1
151.0,B0A0,13.89,0.0,0
151.0,B0B1,13.342116286727027,0.013950892857142858,1
151.0,B0C0,13.951973383665313,0.013950892857142858,1
151.0,B1A1,8.584758055610582,0.013950892857142858,1
151.0,B1B0,13.89,0.0,0
151.0,B1B2,13.89,0.0,0
151.0,B1C1,13.89,0.0,0
151.0,B2A2,13.89,0.0,0
151.0,B2B1,14.388780086663568,0.027901785714285716,2
151.0,B2B3,13.89,0.0,0
151.0,B2C2,13.89,0.0,0
151.0,B3A3,13.89,0.0,0
151.0,B3B2,13.89,0.0,0
151.0,B3B4,13.89,0.0,0
151.0,B3C3,13.89,0.0,0
151.0,B4A4,13.89,0.0,0
151.0,B4B3,13.89,0.0,0
151.0,B4C4,13.89,0.0,0
151.0,C0B0,13.89,0.0,0
151.0,C0C1,13.89,0.0,0
151.0,C0D0,13.304775209524541,0.02619442255344889,2
151.0,C1B1,13.89,0.0,0
151.0,C1C0,13.89,0.0,0
151.0,C1C2,13.89,0.0,0
151.0,C1D1,13.89,0.0,0
151.0,C2B2,13.626623101575078,0.013950892857142858,1
151.0,C2C1,11.989999082251568,0.027901785714285716,2
151.0,C2C3,13.89,0.0,0
151.0,C2D2,13.89,0.0,0
151.0,C3B3,14.264264581134697,0.013950892857142858,1
151.0,C3C2,11.422384965703824,0.013950892857142858,1
151.0,C3C4,13.89,0.0,0
151.0,C3D3,12.11518240523663,0.027901785714285716,2
151.0,C4B4,13.89,0.0,0
151.0,C4C3,13.89,0.0,0
151.0,C4D4,13.89,0.0,0
151.0,D0C0,13.972819007668496,0.013950892857142858,1
151.0,D0D1,13.89,0.0,0
151.0,D0E0,13.89,0.0,0
151.0,D1C1,13.89,0.0,0
151.0,D1D0,13.89,0.0,0
151.0,D1D2,13.81158519979132,0.013950892857142858,1
151.0,D1E1,13.89,0.0,0
151.0,D2C2,12.844118558277332,0.027901785714285716,2
151.0,D2D1,12.282307952578066,0.013950892857142858,1
151.0,D2D3,13.89,0.0,0
151.0,D2E2,13.89,0.0,0
151.0,D3C3,13.14304480780524,0.013950892857142858,1
151.0,D3D2,13.49311273380625,0.013950892857142858,1
151.0,D3D4,12.68557677230804,0.013950892857142858,1
151.0,D3E3,13.89,0.0,0
151.0,D4C4,13.89,0.0,0
151.0,D4D3,12.781627627565834,0.041852678571428575,3
151.0,D4E4,12.968300693664233,0.03275109170305677,1
151.0,E0D0,12.598537085518949,0.02224189510555258,1
151.0,E0E1,13.89,0.0,0
151.0,E1D1,13.89,0.0,0
151.0,E1E0,11.49132940455186,0.04639737991266376,2
151.0,E1E2,13.89,0.0,0
151.0,E2D2,13.89,0.0,0
151.0,E2E1,13.89,0.0,0
151.0,E2E3,11.185528893359233,0.021300824598535713,1
151.0,E3D3,13.89,0.0,0
151.0,E3E2,13.89,0.0,0
151.0,E3E4,13.89,0.0,0
151.0,E4D4,13.59634730262682,0.03275109170305677,1
151.0,E4E3,13.89,0.0,0
181.0,A0A1,13.89,0.0,0
181.0,A0B0,13.89,0.0,0
181.0,A1A0,13.430567903009457,0.013646288209606987,1
181.0,A1A2,13.37135440863684,0.013950892857142858,1
181.0,A1B1,13.89,0.0,0
181.0,A2A1,13.89,0.007433158735681686,0
181.0,A2A3,13.997723931194733,0.013950892857142858,1
181.0,A2B2,8.703404452423566,0.033482142857142856,1
181.0,A3A2,13.89,0.0,0
181.0,A3A4,13.89,0.0,0
181.0,A3B3,13.812623122711223,0.013950892857142858,1
181.0,A4A3,13.89,0.0,0
181.0,A4B4,13.023888368156948,0.013646288209606987,1
181.0,B0A0,13.89,0.0,0
181.0,B0B1,14.261341587701665,0.013950892857142858,1
181.0,B0C0,13.89,0.0,0
181.0,B1A1,13.89,0.0,0
181.0,B1B0,14.03074591738151,0.013950892857142858,1
181.0,B1B2,13.89,0.0,0
181.0,B1C1,12.09739658992694,0.027901785714285716,2
181.0,B2A2,13.89,0.0,0
181.0,B2B1,11.870782078634482,0.013950892857142858,1
181.0,B2B3,13.89,0.0,0
181.0,B2C2,10.231756055649612,0.008622723518806295,1
181.0,B3A3,13.89,0.0,0
181.0,B3B2,13.89,0.0,0
181.0,B3B4,13.89,0.0,0
181.0,B3C3,13.192583375955708,0.013950892857142858,1
181.0,B4A4,13.89,0.0,0
181.0,B4B3,13.89,0.0,0
181.0,B4C4,13.89,0.0,0
181.0,C0B0,11.486653141564199,0.015516184587111318,2
181.0,C0C1,12.44773184652586,0.013950892857142858,1
181.0,C0D0,7.684286894436157,0.04743303571428571,2
181.0,C1B1,13.89,0.0,0
181.0,C1C0,13.89,0.0,0
181.0,C1C2,13.89,0.0,0
181.0,C1D1,13.424533585364028,0.013950892857142858,1
181.0,C2B2,13.450073126444824,0.013950892857142858,1
181.0,C2C1,13.89,0.0,0
181.0,C2C3,13.89,0.0,0
181.0,C2D2,12.061997722908789,0.016536671283892215,1
181.0,C3B3,13.332260584632145,0.027901785714285716,2
181.0,C3C2,9.100053544932623,0.012260192050927848,1
181.0,C3C4,11.052005700540498,0.004344618048235462,1
181.0,C3D3,13.89,0.0,0
181.0,C4B4,13.89,0.0,0
181.0,C4C3,13.89,0.0,0
181.0,C4D4,13.72937345633749,0.033482142857142856,1
181.0,D0C0,13.89,0.0,0
181.0,D0D1,12.895192406782929,0.013950892857142858,1
181.0,D0E0,14.402838593187038,0.013646288209606987,1
181.0,D1C1,13.89,0.0,0
181.0,D1D0,13.89,0.0,0
181.0,D1D2,13.699997438799196,0.013950892857142858,1
181.0,D1E1,13.89,0.0,0
181.0,D2C2,13.89,0.0,0
181.0,D2D1,12.703274804107014,0.013950892857142858,1
181.0,D2D3,6.945,0.033482142857142856,1
181.0,D2E2,13.89,0.0,0
181.0,D3C3,13.89,0.0,0
181.0,D3D2,13.89,0.0,0
181.0,D3D4,13.89,0.0,0
181.0,D3E3,13.89,0.011326942267559054,0
181.0,D4C4,12.37949678469915,0.013950892857142858,1
181.0,D4D3,13.89,0.0,0
181.0,D4E4,13.89,0.0,0
181.0,E0D0,13.89,0.009544635373554081,0
181.0,E0E1,13.356419480031704,0.013646288209606987,1
181.0,E1D1,13.89,0.0,0
181.0,E1E0,13.89,0.0,0
181.0,E1E2,13.89,0.0,0
181.0,E2D2,13.89,0.0,0
181.0,E2E1,13.89,0.0,0
181.0,E2E3,13.065691675814957,0.013950892857142858,1
181.0,E3D3,13.89,0.0,0
181.0,E3E2,12.028617811302517,0.061383928571428575,3
181.0,E3E4,13.89,0.0,0
181.0,E4D4,13.89,0.0,0
181.0,E4E3,13.89,0.0,0
211.0,A0A1,13.72010375185383,0.013646288209606987,1
211.0,A0B0,13.89,0.0,0
211.0,A1A0,13.89,0.0,0
211.0,A1A2,13.89,0.0,0
211.0,A1B1,13.89,0.0,0
211.0,A2A1,13.89,0.0,0
211.0,A2A3,12.636344903170627,0.013950892857142858,1
211.0,A2B2,13.89,0.0,0
211.0,A3A2,13.89,0.0,0
211.0,A3A4,13.89,0.0,0
211.0,A3B3,13.201330124626551,0.013950892857142858,1
211.0,A4A3,13.89,0.0,0
211.0,A4B4,13.89,0.0,0
211.0,B0A0,13.89,0.0,0
211.0,B0B1,13.695172037062264,0.013950892857142858,1
211.0,B0C0,13.752158515814905,0.013950892857142858,1
211.0,B1A1,13.520228883921424,0.013950892857142858,1
211.0,B1B0,13.89,0.0,0
211.0,B1B2,13.89,0.0,0
211.0,B1C1,13.89,0.0,0
211.0,B2A2,13.89,0.0,0
211.0,B2B1,7.486091105312426,0.027901785714285716,2
211.0,B2B3,13.89,0.0,0
211.0,B2C2,13.612590365842916,0.033482142857142856,1
211.0,B3A3,12.468118200656095,0.013950892857142858,1
211.0,B3B2,13.31491572983133,0.013950892857142858,1
211.0,B3B4,13.89,0.0,0
211.0,B3C3,12.229959118726494,0.013950892857142858,1
211.0,B4A4,13.89,0.0,0
211.0,B4B3,12.959284838606976,0.013950892857142858,1
211.0,B4C4,9.160362483717035,0.013950892857142858,1
211.0,C0B0,13.89,0.0,0
211.0,C0C1,10.72949499644339,0.013950892857142858,1
211.0,C0D0,13.76278841561638,0.033482142857142856,1
211.0,C1B1,13.89,0.0,0
211.0,C1C0,10.319280680390523,0.013950892857142858,1
211.0,C1C2,13.561473692975998,0.013950892857142858,1
211.0,C1D1,13.89,0.0,0
211.0,C2B2,12.332944079923909,0.013950892857142858,1
211.0,C2C1,13.89,0.0,0
211.0,C2C3,13.89,0.0,0
211.0,C2D2,10.133340852767255,0.027901785714285716,2
211.0,C3B3,13.89,0.0,0
211.0,C3C2,13.681079283691943,0.033482142857142856,1
211.0,C3C4,13.269616192406101,0.013950892857142858,1
211.0,C3D3,13.89,0.0,0
211.0,C4B4,13.89,0.0,0
211.0,C4C3,12.883961076936803,0.013950892857142858,1
211.0,C4D4,13.89,0.0,0
211.0,D0C0,7.345018226356338,0.04743303571428571,2
211.0,D0D1,13.89,0.0,0
211.0,D0E0,12.606175852160522,0.013646288209606987,1
211.0,D1C1,13.89,0.0,0
211.0,D1D0,13.144375174675108,0.013950892857142858,1
211.0,D1D2,13.89,0.0,0
211.0,D1E1,9.993126848484902,0.013950892857142858,1
211.0,D2C2,13.89,0.0,0
211.0,D2D1,13.89,0.0,0
211.0,D2D3,12.741311855453581,0.013950892857142858,1
211.0,D2E2,13.89,0.0,0
211.0,D3C3,13.89,0.0,0
211.0,D3D2,12.23100573928561,0.033482142857142856,1
211.0,D3D4,13.365365426946969,0.013950892857142858,1
211.0,D3E3,13.89,0.0,0
211.0,D4C4,13.415596961982075,0.013950892857142858,1
211.0,D4D3,13.89,0.0,0
211.0,D4E4,13.89,0.0,0
211.0,E0D0,13.28414920714117,0.013646288209606987,1
211.0,E0E1,13.89,0.0,0
211.0,E1D1,13.89,0.0,0
211.0,E1E0,13.369925522025925,0.013646288209606987,1
211.0,E1E2,12.923899240485621,0.04743303571428571,2
211.0,E2D2,13.455731335245886,0.013950892857142858,1
211.0,E2E1,13.89,0.0,0
211.0,E2E3,13.89,0.0,0
211.0,E3D3,13.89,0.010986193676555955,0
211.0,E3E2,13.89,0.0,0
211.0,E3E4,11.726245553819464,0.03275109170305677,1
